title,genres,rating
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4
Jumanji (1995),Adventure|Children|Fantasy,1.5
Grumpier Old Men (1995),Comedy|Romance,4
Waiting to Exhale (1995),Comedy|Drama|Romance,4
Father of the Bride Part II (1995),Comedy,4
Heat (1995),Action|Crime|Thriller,4
Sabrina (1995),Comedy|Romance,3
Tom and Huck (1995),Adventure|Children,4
Sudden Death (1995),Action,3
GoldenEye (1995),Action|Adventure|Thriller,0.5
"American President, The (1995)",Comedy|Drama|Romance,4
Dracula: Dead and Loving It (1995),Comedy|Horror,0.5
Balto (1995),Adventure|Animation|Children,4.5
Nixon (1995),Drama,1.5
Cutthroat Island (1995),Action|Adventure|Romance,0.5
Casino (1995),Crime|Drama,4
Sense and Sensibility (1995),Drama|Romance,4
Four Rooms (1995),Comedy,4.5
Ace Ventura: When Nature Calls (1995),Comedy,3
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5
Get Shorty (1995),Comedy|Crime|Thriller,3
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,4
Assassins (1995),Action|Crime|Thriller,3.5
Powder (1995),Drama|Sci-Fi,4.5
Leaving Las Vegas (1995),Drama|Romance,3.5
Othello (1995),Drama,3.5
Now and Then (1995),Children|Drama,2.5
Persuasion (1995),Drama|Romance,5
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.5
Dangerous Minds (1995),Drama,3.5
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.5
Wings of Courage (1995),Adventure|Romance|IMAX,3.5
Babe (1995),Children|Drama,3
Carrington (1995),Drama|Romance,3.5
Dead Man Walking (1995),Crime|Drama,5
Clueless (1995),Comedy|Romance,5
"Cry, the Beloved Country (1995)",Drama,4.5
Richard III (1995),Drama|War,4
Dead Presidents (1995),Action|Crime|Drama,4.5
Restoration (1995),Drama,5
Mortal Kombat (1995),Action|Adventure|Fantasy,4.5
To Die For (1995),Comedy|Drama|Thriller,4
How to Make an American Quilt (1995),Drama|Romance,4.5
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,5
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,4
When Night Is Falling (1995),Drama|Romance,5
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,5
Mighty Aphrodite (1995),Comedy|Drama|Romance,4.5
Lamerica (1994),Adventure|Drama,3.5
"Big Green, The (1995)",Children|Comedy,4.5
Georgia (1995),Drama,3
Home for the Holidays (1995),Drama,4
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4.5
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.5
Eye for an Eye (1996),Drama|Thriller,3.5
Mr. Holland's Opus (1995),Drama,1.5
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1.5
Two if by Sea (1996),Comedy|Romance,3
Bio-Dome (1996),Comedy,4
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,4.5
French Twist (Gazon maudit) (1995),Comedy|Romance,1.5
Friday (1995),Comedy,1.5
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,4.5
Fair Game (1995),Action,4
Kicking and Screaming (1995),Comedy|Drama,2.5
"Misérables, Les (1995)",Drama|War,2
Bed of Roses (1996),Drama|Romance,4.5
Big Bully (1996),Comedy|Drama,4
Screamers (1995),Action|Sci-Fi|Thriller,4.5
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,4.5
"Juror, The (1996)",Drama|Thriller,3
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.5
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,5
Antonia's Line (Antonia) (1995),Comedy|Drama,3
Once Upon a Time... When We Were Colored (1995),Drama|Romance,4
Last Summer in the Hamptons (1995),Comedy|Drama,3.5
Angels and Insects (1995),Drama|Romance,5
White Squall (1996),Action|Adventure|Drama,5
Dunston Checks In (1996),Children|Comedy,4.5
Black Sheep (1996),Comedy,4
Nick of Time (1995),Action|Thriller,4.5
"Journey of August King, The (1995)",Drama,3.5
Mary Reilly (1996),Drama|Horror|Thriller,3.5
Vampire in Brooklyn (1995),Comedy|Horror|Romance,3.5
Beautiful Girls (1996),Comedy|Drama|Romance,5
Broken Arrow (1996),Action|Adventure|Thriller,4
In the Bleak Midwinter (1995),Comedy|Drama,3.5
"Hate (Haine, La) (1995)",Crime|Drama,4.5
City Hall (1996),Drama|Thriller,4
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3
Mr. Wrong (1996),Comedy,3.5
Unforgettable (1996),Mystery|Sci-Fi|Thriller,4
Happy Gilmore (1996),Comedy,3.5
"Bridges of Madison County, The (1995)",Drama|Romance,4.5
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,4.5
Catwalk (1996),Documentary,3.5
Braveheart (1995),Action|Drama|War,4
Taxi Driver (1976),Crime|Drama|Thriller,4.5
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,2.5
Before and After (1996),Drama|Mystery,4
Margaret's Museum (1995),Drama,4.5
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,4.5
Anne Frank Remembered (1995),Documentary,4.5
"Young Poisoner's Handbook, The (1995)",Crime|Drama,4.5
If Lucy Fell (1996),Comedy|Romance,0.5
"Boys of St. Vincent, The (1992)",Drama,5
Boomerang (1992),Comedy|Romance,4
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,3.5
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.5
Flirting With Disaster (1996),Comedy,4
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0.5
Pie in the Sky (1996),Comedy|Romance,5
Frankie Starlight (1995),Drama|Romance,2
Jade (1995),Thriller,3
Down Periscope (1996),Comedy,4
Man of the Year (1995),Documentary,5
"Neon Bible, The (1995)",Drama,3
Up Close and Personal (1996),Drama|Romance,3
"Birdcage, The (1996)",Comedy,5
"Brothers McMullen, The (1995)",Comedy,4
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,4
"Amazing Panda Adventure, The (1995)",Adventure|Children,5
"Basketball Diaries, The (1995)",Drama,4
Amateur (1994),Crime|Drama|Thriller,4
