title,genres,rating,image
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4,Picture
Jumanji (1995),Adventure|Children|Fantasy,1.5,Picture
Grumpier Old Men (1995),Comedy|Romance,4,Picture
Waiting to Exhale (1995),Comedy|Drama|Romance,4,Picture
Father of the Bride Part II (1995),Comedy,4,Picture
Heat (1995),Action|Crime|Thriller,4,Picture
Sabrina (1995),Comedy|Romance,3,Picture
Tom and Huck (1995),Adventure|Children,4,Picture
Sudden Death (1995),Action,3,Picture
GoldenEye (1995),Action|Adventure|Thriller,0.5,Picture
"American President, The (1995)",Comedy|Drama|Romance,4,Picture
Dracula: Dead and Loving It (1995),Comedy|Horror,0.5,Picture
Balto (1995),Adventure|Animation|Children,4.5,Picture
Nixon (1995),Drama,1.5,Picture
Cutthroat Island (1995),Action|Adventure|Romance,0.5,Picture
Casino (1995),Crime|Drama,4,Picture
Sense and Sensibility (1995),Drama|Romance,4,Picture
Four Rooms (1995),Comedy,4.5,Picture
Ace Ventura: When Nature Calls (1995),Comedy,3,Picture
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,Picture
Get Shorty (1995),Comedy|Crime|Thriller,3,Picture
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,4,Picture
Assassins (1995),Action|Crime|Thriller,3.5,Picture
Powder (1995),Drama|Sci-Fi,4.5,Picture
Leaving Las Vegas (1995),Drama|Romance,3.5,Picture
Othello (1995),Drama,3.5,Picture
Now and Then (1995),Children|Drama,2.5,Picture
Persuasion (1995),Drama|Romance,5,Picture
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3,Picture
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.5,Picture
Dangerous Minds (1995),Drama,3.5,Picture
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.5,Picture
Wings of Courage (1995),Adventure|Romance|IMAX,3.5,Picture
Babe (1995),Children|Drama,3,Picture
Carrington (1995),Drama|Romance,3.5,Picture
Dead Man Walking (1995),Crime|Drama,5,Picture
Clueless (1995),Comedy|Romance,5,Picture
"Cry, the Beloved Country (1995)",Drama,4.5,Picture
Richard III (1995),Drama|War,4,Picture
Dead Presidents (1995),Action|Crime|Drama,4.5,Picture
Restoration (1995),Drama,5,Picture
Mortal Kombat (1995),Action|Adventure|Fantasy,4.5,Picture
To Die For (1995),Comedy|Drama|Thriller,4,Picture
How to Make an American Quilt (1995),Drama|Romance,4.5,Picture
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,5,Picture
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,4,Picture
When Night Is Falling (1995),Drama|Romance,5,Picture
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,5,Picture
Mighty Aphrodite (1995),Comedy|Drama|Romance,4.5,Picture
Lamerica (1994),Adventure|Drama,3.5,Picture
"Big Green, The (1995)",Children|Comedy,4.5,Picture
Georgia (1995),Drama,3,Picture
Home for the Holidays (1995),Drama,4,Picture
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3,Picture
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4.5,Picture
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.5,Picture
Eye for an Eye (1996),Drama|Thriller,3.5,Picture
Mr. Holland's Opus (1995),Drama,1.5,Picture
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1.5,Picture
